Brick Version,1.1
Haystack Version,3.9.9
Brick Inference Version,0.1.9a1

Haystack Proto,Brick Ranked Inference Types
air-co2-point,Point,Point
air-flow-point,Air_Flow_Setpoint,Air_Flow_Setpoint
air-humidity-point,Relative_Humidity_Sensor,Relative_Humidity_Sensor
air-pressure-point,Air_Differential_Pressure_Sensor,Air_Differential_Pressure_Sensor
air-temp-point,Point,Point
avg-ac-elec-current-angle-sensor-point,Angle_Sensor,Angle_Sensor
avg-ac-elec-current-imbalance-sensor-point,Current_Sensor,Current_Sensor
avg-ac-elec-current-magnitude-sensor-point,Current_Sensor,Current_Sensor
avg-ac-elec-current-thd-sensor-point,Current_Sensor,Current_Sensor
avg-ac-elec-pf-sensor-point,Sensor,Sensor
avg-ac-elec-volt-angle-sensor-point,Angle_Sensor,Angle_Sensor
avg-ac-elec-volt-imbalance-sensor-point,Sensor,Sensor
avg-ac-elec-volt-magnitude-sensor-point,Sensor,Sensor
avg-ac-elec-volt-thd-sensor-point,Sensor,Sensor
bypass-damper-cmd-point,Point,Point,Damper
chilled-water-bypass-flow-point,Point,Point
chilled-water-bypass-point,Point,Point
chilled-water-bypass-pressure-point,Point,Point
chilled-water-bypass-pump-enable-state-point,Chilled_Water_Pump
chilled-water-bypass-pump-point,Chilled_Water_Pump
chilled-water-bypass-pump-run-state-point,Chilled_Water_Pump
chilled-water-bypass-temp-point,Point,Point
chilled-water-bypass-valve-cmd-point,Chilled_Water_Valve
chilled-water-bypass-valve-sensor-point,Chilled_Water_Valve
chilled-water-cool-valve-cmd-point,Chilled_Water_Valve
chilled-water-delta-flow-point,Point,Point
chilled-water-delta-flow-sensor-point,Water_Flow_Sensor,Water_Flow_Sensor
chilled-water-delta-pressure-point,Point,Point
chilled-water-delta-temp-point,Point,Point
chilled-water-delta-temp-sensor-point,Sensor,Sensor
chilled-water-entering-flow-point,Point,Point
chilled-water-entering-point,Point,Point
chilled-water-entering-pressure-point,Point,Point
chilled-water-entering-pump-enable-state-point,Chilled_Water_Pump
chilled-water-entering-pump-point,Chilled_Water_Pump
chilled-water-entering-pump-run-state-point,Chilled_Water_Pump
chilled-water-entering-temp-point,Point,Point
chilled-water-entering-valve-cmd-point,Chilled_Water_Valve
chilled-water-entering-valve-sensor-point,Chilled_Water_Valve
chilled-water-header-flow-point,Point,Point
chilled-water-header-point,Point,Point
chilled-water-header-pressure-point,Point,Point
chilled-water-header-pump-enable-state-point,Chilled_Water_Pump
chilled-water-header-pump-point,Chilled_Water_Pump
chilled-water-header-pump-run-state-point,Chilled_Water_Pump
chilled-water-header-temp-point,Point,Point
chilled-water-header-valve-cmd-point,Chilled_Water_Valve
chilled-water-header-valve-sensor-point,Chilled_Water_Valve
chilled-water-leaving-flow-point,Point,Point
chilled-water-leaving-point,Point,Point
chilled-water-leaving-pressure-point,Point,Point
chilled-water-leaving-pump-enable-state-point,Chilled_Water_Pump
chilled-water-leaving-pump-point,Chilled_Water_Pump
chilled-water-leaving-pump-run-state-point,Chilled_Water_Pump
chilled-water-leaving-temp-point,Point,Point
chilled-water-leaving-valve-cmd-point,Chilled_Water_Valve
chilled-water-leaving-valve-sensor-point,Chilled_Water_Valve
chilled-water-valve-isolation-cmd-point,Chilled_Water_Valve
circ-flow-point,Point,Point
circ-point,Point,Point
circ-pressure-point,Point,Point
circ-pump-enable-state-point,Point,Point,Pump
circ-pump-point,Point,Point,Pump
circ-pump-run-state-point,Point,Point,Pump
circ-temp-point,Point,Point
circ-valve-cmd-point,Point,Point,Valve
circ-valve-sensor-point,Sensor,Sensor,Valve
condensate-entering-flow-point,Point,Point
condensate-entering-point,Point,Point
condensate-entering-pressure-point,Point,Point
condensate-entering-pump-enable-state-point,Point,Point,Pump
condensate-entering-pump-point,Point,Point,Pump
condensate-entering-pump-run-state-point,Point,Point,Pump
condensate-entering-temp-point,Point,Point
condensate-entering-valve-cmd-point,Point,Point,Valve
condensate-entering-valve-sensor-point,Sensor,Sensor,Valve
condenser-refrig-pressure-sensor-point,Pressure_Sensor,Pressure_Sensor,Condenser
